registration,make,model,procSpeed
9kKt6h4,Alienware,Area-51,3.8
q75rkcC,Razer,Blade,3.7
8ac2p0d,Razer,Blade,3.3
HbjbOfZ,Razer,Blade,3.5
xq4lm8F,Razer,Blade,3.1
8Pa7jVL,Lenovo,Legion,3.1
mJbd48w,Razer,Blade,3.0
uZA6sfY,Razer,Blade,3.1
J3yruc0,Asus,ROG,3.1
yD1ZcW5,HP,Omen,3.8
UzsyKcZ,Razer,Blade,3.5
xXOtoU9,HP,Omen,3.0
MZjx6Up,Alienware,Area-51,3.0
c8MOHvC,HP,Omen,3.7
Ghum8Tf,Razer,Blade,3.4
p6IHZls,HP,Omen,3.8
hOjz9N4,Razer,Blade,3.5
br6NwNd,Razer,Blade,3.3
8BZufNK,Razer,Blade,3.4
Au6sIKA,Razer,Blade,3.8
SfNzeOE,Razer,Blade,3.8
RflO9DH,Razer,Blade,3.5
VTZnFOZ,Acer,Predator,3.3
sfM2bjB,MSI,Raider,3.2
F67mstG,Asus,ROG,3.5
TUHcOfN,Razer,Blade,3.1
RIUSxZk,Razer,Blade,3.6
pOxwZ2M,Razer,Blade,3.8
DDUhLCQ,Acer,Predator,3.4
sKO43g9,Razer,Blade,3.6
kP8Xhif,MSI,Raider,3.4
ARtdL1X,Alienware,Area-51,3.4
Jo1iwTn,Acer,Predator,3.0
7uNGkPW,Razer,Blade,3.0
80WLg49,Razer,Blade,3.1
c9YZczl,Razer,Blade,3.0
X5bKvlc,Razer,Blade,3.5
hFBBRu1,Alienware,Area-51,3.3
Zeigdig,MSI,Raider,3.5
cho07Qb,HP,Omen,3.1
n6P87p4,Razer,Blade,3.4
xNmszff,HP,Omen,3.4
WqBPEMP,Razer,Blade,3.4
nByGk5H,Razer,Blade,3.8
BeXKvZl,Acer,Predator,3.2
diKXB5E,Razer,Blade,3.2
7ZAm299,Razer,Blade,3.4
dP7f9bB,Razer,Blade,3.3
Dd8ixds,MSI,Raider,3.5
hI3mPX2,Razer,Blade,3.4
shFjzg4,MSI,Raider,3.7
rgYlCEh,Alienware,Area-51,3.0
kcKoLQJ,Razer,Blade,3.1
0g3DARv,Razer,Blade,3.7
nPgNzEN,Acer,Predator,3.0
HJHj7u5,Asus,ROG,3.7
34TYpF2,MSI,Raider,3.8
Ws3asLZ,Razer,Blade,3.3
y2FWXjx,Razer,Blade,3.2
znFPTwJ,Acer,Predator,3.0
ReD9tKz,Razer,Blade,3.1
hapa367,Acer,Predator,3.0
u3w1NOp,Razer,Blade,3.5
85ET8YO,Razer,Blade,3.3
970lmL4,Razer,Blade,3.1
WlcuSPh,Razer,Blade,3.4
hB0IOND,Razer,Blade,3.6
ZdS2x49,Razer,Blade,3.4
gHh7bPi,Razer,Blade,3.7
eIPgEQ0,MSI,Raider,3.3
fy4DcK0,Razer,Blade,3.4
YxgPfvt,Razer,Blade,3.4
rahzcdx,Razer,Blade,3.3
x5J3FQa,Razer,Blade,3.5
fJB3TI6,Razer,Blade,3.7
qaXY5jp,Razer,Blade,3.6
m78GgcR,Razer,Blade,3.3
oe1DDnz,Razer,Blade,3.8
XzDAGcu,Lenovo,Legion,3.2
aYXgiXe,Razer,Blade,3.4
Q6AEaXb,Razer,Blade,3.0
WkaJSc0,Razer,Blade,3.8
5voDv1Y,Razer,Blade,3.8
VUd0xpe,HP,Omen,3.8
4ReSYLz,Razer,Blade,3.3
hQKJzG0,HP,Omen,3.8
xxGjlJV,Razer,Blade,3.0
BALrOuX,MSI,Raider,3.8
Y5lsFiP,Alienware,Area-51,3.0
fZJIFb3,Asus,ROG,3.5
1l7Cz6n,Razer,Blade,3.2
DCVpahf,Razer,Blade,3.3
zM9JTXb,Razer,Blade,3.5
tpO8CDC,Razer,Blade,3.8
pm14121,MSI,Raider,3.8
GW5zRQQ,Acer,Predator,3.2
FFkADSh,Razer,Blade,3.3
AjIxt8H,HP,Omen,3.0
4V4ReeV,Razer,Blade,3.0
bOZhbS2,Razer,Blade,3.4
wClIdXD,Razer,Blade,3.4
wYhREpx,HP,Omen,3.1
nmB1Ko3,Razer,Blade,3.5
0MPjWtP,Razer,Blade,3.5
vv0xmNS,HP,Omen,3.8
S1EiS92,Razer,Blade,3.1
qO2JY7x,Razer,Blade,3.5
wRoOKL8,Razer,Blade,3.7
JPcJofb,Acer,Predator,3.7
miRnGWU,Acer,Predator,3.6
YQfEFrW,Razer,Blade,3.1
iedbS44,Alienware,Area-51,3.1
EbNO4fD,Razer,Blade,3.5
5OkPqmi,HP,Omen,3.1
v92MbEa,Razer,Blade,3.4
sbR8DBw,Razer,Blade,3.2
PSD0VpO,HP,Omen,3.0
5EnIqB7,Asus,ROG,3.1
f64bGU4,Razer,Blade,3.5
y3ztrUI,Razer,Blade,3.8
Y2VHSCz,Alienware,Area-51,3.1
HhZod64,MSI,Raider,3.7
rFkwJEq,Razer,Blade,3.0
iqASHxY,HP,Omen,3.6
iHmQ6pm,Razer,Blade,3.5
aUX5yYt,Razer,Blade,3.0
SPNx0bs,MSI,Raider,3.8
WaXHpH1,Razer,Blade,3.4
Uxs728r,Asus,ROG,3.3
A8CxZgL,Razer,Blade,3.3
Q0RHFjE,HP,Omen,3.5
PQXdB0z,Razer,Blade,3.4
POW22fI,Razer,Blade,3.8
fBJR7AN,Acer,Predator,3.5
z4HNaM1,HP,Omen,3.4
KaVLOrj,Asus,ROG,3.7
sD8Kwkf,Razer,Blade,3.0
aRibxPs,MSI,Raider,3.1
dKhz5mE,Razer,Blade,3.5
aPJb49V,Razer,Blade,3.8
8SQCsed,Alienware,Area-51,3.3
EqsF7DS,Razer,Blade,3.3
yOybp7u,Acer,Predator,3.8
Tne4kd7,Razer,Blade,3.8
fryo7R7,Razer,Blade,3.4
r3CPDoG,Alienware,Area-51,3.7
3GS3DG2,Razer,Blade,3.2
ibzSAyC,Asus,ROG,3.3
saVZhQW,Razer,Blade,3.8
cNz7joM,Razer,Blade,3.2
KWufVym,Lenovo,Legion,3.6
uvPZNmL,Acer,Predator,3.6
kk4NGng,Razer,Blade,3.0
e9x5xqn,Lenovo,Legion,3.8
sV0i1bT,Razer,Blade,3.4
kfqT8rW,Razer,Blade,3.2
oaSZWiT,Razer,Blade,3.5
DuFqjCd,Razer,Blade,3.4
ELNEQ8h,Razer,Blade,3.6
khLPQdo,Razer,Blade,3.5
t9ZjyvY,Acer,Predator,3.1
0S7l4kd,Asus,ROG,3.4
rK7KeZs,Razer,Blade,3.5
1x3UIQ3,Lenovo,Legion,3.6
3EwIPEJ,HP,Omen,3.7
1aHcuT9,MSI,Raider,3.2
9Wd7OCm,Acer,Predator,3.2
msjh6gD,Razer,Blade,3.0
