make,model,procSpeed,salePrice
Razer,Blade,3.6,1249.0
Razer,Blade,3.5,574.0
Razer,Blade,3.4,1863.0
Razer,Blade,3.4,830.0
Razer,Blade,3.5,719.0
HP,Omen,3.4,1373.0
Lenovo,Legion,3.5,604.0
Lenovo,Legion,3.1,1315.0
Razer,Blade,3.7,1330.0
Acer,Predator,3.3,1512.0
Razer,Blade,3.7,1691.0
Razer,Blade,3.4,1725.0
MSI,Raider,3.7,1301.0
Razer,Blade,3.8,1010.0
Asus,ROG,3.8,1047.0
Razer,Blade,3.7,1868.0
Razer,Blade,3.4,1065.0
Razer,Blade,3.6,1647.0
Razer,Blade,3.5,700.0
Razer,Blade,3.3,1530.0
Razer,Blade,3.4,1137.0
MSI,Raider,3.5,981.0
Razer,Blade,3.8,1895.0
Alienware,Area-51,3.2,997.0
Razer,Blade,3.5,1173.0
Razer,Blade,3.6,1336.0
Razer,Blade,3.2,911.0
Acer,Predator,3.3,1947.0
Razer,Blade,3.4,1600.0
Razer,Blade,3.6,1858.0
Razer,Blade,3.4,1640.0
Lenovo,Legion,3.4,1776.0
Alienware,Area-51,3.0,815.0
Razer,Blade,3.5,774.0
Razer,Blade,3.3,1626.0
Razer,Blade,3.6,1791.0
Asus,ROG,3.1,740.0
Razer,Blade,3.2,1564.0
Acer,Predator,3.5,1173.0
Razer,Blade,3.3,1505.0
Razer,Blade,3.8,1117.0
Asus,ROG,3.3,1468.0
Alienware,Area-51,3.1,1432.0
Lenovo,Legion,3.2,1447.0
Razer,Blade,3.7,542.0
Lenovo,Legion,3.0,1659.0
Lenovo,Legion,3.5,1819.0
Lenovo,Legion,3.4,1342.0
HP,Omen,3.6,1920.0
Asus,ROG,3.3,914.0
Lenovo,Legion,3.4,1254.0
Acer,Predator,3.6,1297.0
MSI,Raider,3.6,1833.0
Razer,Blade,3.2,528.0
Razer,Blade,3.7,1606.0
HP,Omen,3.5,1289.0
MSI,Raider,3.4,1986.0
Razer,Blade,3.8,1219.0
Razer,Blade,3.3,1666.0
Alienware,Area-51,3.0,602.0
Lenovo,Legion,3.5,1202.0
HP,Omen,3.2,797.0
Razer,Blade,3.3,659.0
Alienware,Area-51,3.3,1752.0
Razer,Blade,3.5,761.0
Razer,Blade,3.6,1857.0
Razer,Blade,3.2,1829.0
MSI,Raider,3.6,1761.0
Razer,Blade,3.7,1927.0
Razer,Blade,3.8,710.0
MSI,Raider,3.6,960.0
Razer,Blade,3.0,824.0
Razer,Blade,3.0,1989.0
Razer,Blade,3.7,856.0
HP,Omen,3.2,1259.0
Razer,Blade,3.0,1738.0
HP,Omen,3.2,1636.0
Razer,Blade,3.4,1773.0
Razer,Blade,3.3,1850.0
Alienware,Area-51,3.4,883.0
Razer,Blade,3.7,1162.0
MSI,Raider,3.8,772.0
HP,Omen,3.6,1014.0
Razer,Blade,3.8,837.0
MSI,Raider,3.3,512.0
Acer,Predator,3.4,1745.0
Razer,Blade,3.6,1096.0
HP,Omen,3.0,1329.0
Razer,Blade,3.6,1239.0
Razer,Blade,3.5,1364.0
Razer,Blade,3.4,1209.0
Razer,Blade,3.0,1589.0
Razer,Blade,3.4,846.0
Razer,Blade,3.2,643.0
Asus,ROG,3.0,1577.0
Alienware,Area-51,3.6,1946.0
Asus,ROG,3.8,849.0
HP,Omen,3.3,809.0
HP,Omen,3.1,1002.0
Razer,Blade,3.6,829.0
Razer,Blade,3.8,834.0
Razer,Blade,3.6,669.0
Razer,Blade,3.2,1311.0
Lenovo,Legion,3.6,1014.0
MSI,Raider,3.5,634.0
Alienware,Area-51,3.6,890.0
HP,Omen,3.3,1870.0
Lenovo,Legion,3.0,1132.0
Acer,Predator,3.4,1364.0
Asus,ROG,3.4,670.0
MSI,Raider,3.1,1478.0
Lenovo,Legion,3.3,1300.0
Razer,Blade,3.2,1600.0
Razer,Blade,3.7,692.0
Alienware,Area-51,3.2,826.0
Lenovo,Legion,3.4,817.0
Asus,ROG,3.6,1008.0
Razer,Blade,3.4,1755.0
Alienware,Area-51,3.2,1618.0
Razer,Blade,3.8,1206.0
Razer,Blade,3.5,1624.0
Razer,Blade,3.5,1571.0
Razer,Blade,3.8,1122.0
HP,Omen,3.1,1282.0
Razer,Blade,3.4,1016.0
Acer,Predator,3.2,1600.0
Razer,Blade,3.6,1888.0
Razer,Blade,3.2,1409.0
Razer,Blade,3.2,1314.0
Acer,Predator,3.5,710.0
Razer,Blade,3.2,1544.0
Lenovo,Legion,3.3,1509.0
Razer,Blade,3.3,1087.0
Razer,Blade,3.0,1204.0
Razer,Blade,3.0,780.0
Acer,Predator,3.6,1261.0
Razer,Blade,3.3,916.0
Lenovo,Legion,3.3,761.0
Razer,Blade,3.8,1219.0
Acer,Predator,3.4,1319.0
Alienware,Area-51,3.1,1100.0
Razer,Blade,3.3,849.0
Razer,Blade,3.8,928.0
Razer,Blade,3.4,633.0
Razer,Blade,3.4,1057.0
MSI,Raider,3.5,1415.0
Lenovo,Legion,3.5,1692.0
Razer,Blade,3.2,1804.0
Alienware,Area-51,3.0,835.0
Razer,Blade,3.3,756.0
Razer,Blade,3.2,1198.0
Razer,Blade,3.4,833.0
HP,Omen,3.5,533.0
Razer,Blade,3.7,1660.0
Razer,Blade,3.1,1508.0
Razer,Blade,3.1,1364.0
Razer,Blade,3.0,779.0
Razer,Blade,3.5,773.0
Razer,Blade,3.0,935.0
Razer,Blade,3.6,1473.0
Razer,Blade,3.0,1672.0
Razer,Blade,3.4,1021.0
Razer,Blade,3.4,1078.0
Razer,Blade,3.7,1943.0
Asus,ROG,3.1,526.0
Alienware,Area-51,3.7,1398.0
Razer,Blade,3.8,1123.0
Razer,Blade,3.4,1832.0
Razer,Blade,3.3,1837.0
Razer,Blade,3.6,1564.0
MSI,Raider,3.7,777.0
Razer,Blade,3.5,1195.0
Alienware,Area-51,3.3,1654.0
Razer,Blade,3.4,740.0
Razer,Blade,3.4,1237.0
Razer,Blade,3.0,1130.0
Razer,Blade,3.5,1149.0
Razer,Blade,3.7,1580.0
Asus,ROG,3.1,954.0
Razer,Blade,3.0,1973.0
Razer,Blade,3.4,1806.0
Razer,Blade,3.6,1202.0
MSI,Raider,3.4,1407.0
Razer,Blade,3.1,1917.0
MSI,Raider,3.0,1273.0
Razer,Blade,3.4,1295.0
Razer,Blade,3.7,1671.0
Razer,Blade,3.6,1377.0
Razer,Blade,3.7,1466.0
Razer,Blade,3.8,730.0
HP,Omen,3.1,600.0
Razer,Blade,3.7,1001.0
Razer,Blade,3.1,1435.0
Razer,Blade,3.8,1599.0
Lenovo,Legion,3.1,1165.0
HP,Omen,3.7,1797.0
Razer,Blade,3.4,1355.0
Razer,Blade,3.3,1487.0
Lenovo,Legion,3.1,1227.0
Asus,ROG,3.3,1092.0
Acer,Predator,3.4,550.0
Acer,Predator,3.8,545.0
Razer,Blade,3.5,1301.0
Razer,Blade,3.2,788.0
MSI,Raider,3.7,763.0
Razer,Blade,3.4,1213.0
Alienware,Area-51,3.1,1133.0
Razer,Blade,3.4,1464.0
Acer,Predator,3.0,1185.0
Razer,Blade,3.6,650.0
Razer,Blade,3.7,1869.0
Razer,Blade,3.2,1645.0
Razer,Blade,3.2,1463.0
MSI,Raider,3.4,918.0
HP,Omen,3.8,1315.0
MSI,Raider,3.7,1609.0
Razer,Blade,3.5,1452.0
Alienware,Area-51,3.3,1191.0
Razer,Blade,3.1,1814.0
Razer,Blade,3.0,1605.0
Razer,Blade,3.1,1241.0
Razer,Blade,3.0,1663.0
Asus,ROG,3.7,1325.0
Lenovo,Legion,3.5,1445.0
Razer,Blade,3.0,972.0
MSI,Raider,3.6,1739.0
Lenovo,Legion,3.8,1757.0
MSI,Raider,3.6,1902.0
Razer,Blade,3.7,1612.0
Acer,Predator,3.6,1224.0
Acer,Predator,3.6,692.0
HP,Omen,3.4,1099.0
Lenovo,Legion,3.5,1105.0
Razer,Blade,3.2,928.0
Razer,Blade,3.5,1404.0
HP,Omen,3.0,1624.0
Razer,Blade,3.1,509.0
MSI,Raider,3.8,795.0
Razer,Blade,3.0,1359.0
Razer,Blade,3.7,1447.0
Razer,Blade,3.2,1913.0
Razer,Blade,3.5,683.0
Asus,ROG,3.7,1449.0
Razer,Blade,3.1,1579.0
Alienware,Area-51,3.8,1100.0
Razer,Blade,3.5,1661.0
Razer,Blade,3.4,877.0
Asus,ROG,3.6,1207.0
MSI,Raider,3.3,1912.0
Razer,Blade,3.4,1482.0
Razer,Blade,3.1,1944.0
Razer,Blade,3.5,1388.0
Asus,ROG,3.1,557.0
MSI,Raider,3.3,1764.0
Razer,Blade,3.5,1221.0
Lenovo,Legion,3.3,809.0
Razer,Blade,3.8,679.0
Razer,Blade,3.4,1970.0
Asus,ROG,3.1,706.0
Razer,Blade,3.1,1260.0
MSI,Raider,3.4,1385.0
HP,Omen,3.0,653.0
Razer,Blade,3.8,1273.0
Razer,Blade,3.5,547.0
Razer,Blade,3.7,1961.0
Razer,Blade,3.6,1379.0
HP,Omen,3.1,1689.0
Razer,Blade,3.8,769.0
Razer,Blade,3.6,1426.0
Lenovo,Legion,3.0,529.0
Razer,Blade,3.4,668.0
Razer,Blade,3.3,1991.0
Alienware,Area-51,3.3,1133.0
Razer,Blade,3.4,1049.0
Razer,Blade,3.3,1395.0
Razer,Blade,3.8,584.0
Razer,Blade,3.6,993.0
Razer,Blade,3.1,831.0
Razer,Blade,3.5,1444.0
Razer,Blade,3.4,1641.0
Razer,Blade,3.4,1009.0
Razer,Blade,3.5,1764.0
Lenovo,Legion,3.8,753.0
Razer,Blade,3.0,816.0
Acer,Predator,3.2,1115.0
Lenovo,Legion,3.1,1179.0
Razer,Blade,3.6,890.0
Razer,Blade,3.1,1081.0
Razer,Blade,3.2,589.0
Razer,Blade,3.3,1543.0
Razer,Blade,3.5,519.0
Alienware,Area-51,3.2,608.0
Razer,Blade,3.5,921.0
Acer,Predator,3.8,586.0
Razer,Blade,3.4,1668.0
Razer,Blade,3.7,1175.0
Alienware,Area-51,3.1,1900.0
Razer,Blade,3.8,618.0
Alienware,Area-51,3.3,765.0
Razer,Blade,3.5,1594.0
Asus,ROG,3.4,1251.0
Razer,Blade,3.4,579.0
Razer,Blade,3.1,1563.0
Asus,ROG,3.8,1718.0
Razer,Blade,3.0,1789.0
MSI,Raider,3.7,1481.0
Razer,Blade,3.0,1097.0
Acer,Predator,3.0,1065.0
Razer,Blade,3.1,941.0
Razer,Blade,3.2,861.0
Razer,Blade,3.0,777.0
Razer,Blade,3.5,1269.0
Razer,Blade,3.0,1221.0
Lenovo,Legion,3.8,1869.0
Razer,Blade,3.6,1245.0
Alienware,Area-51,3.4,1543.0
Razer,Blade,3.4,1646.0
Alienware,Area-51,3.5,851.0
Alienware,Area-51,3.1,1518.0
HP,Omen,3.7,1209.0
MSI,Raider,3.5,1415.0
Razer,Blade,3.7,912.0
HP,Omen,3.0,1552.0
Razer,Blade,3.0,1991.0
Razer,Blade,3.8,1114.0
Razer,Blade,3.8,1532.0
Razer,Blade,3.8,939.0
Razer,Blade,3.5,1031.0
Razer,Blade,3.0,865.0
Razer,Blade,3.6,1206.0
HP,Omen,3.4,1955.0
Razer,Blade,3.6,1022.0
MSI,Raider,3.7,652.0
Alienware,Area-51,3.5,1557.0
Lenovo,Legion,3.2,1285.0
Acer,Predator,3.6,1773.0
Lenovo,Legion,3.5,860.0
Razer,Blade,3.0,1486.0
Razer,Blade,3.6,1420.0
Acer,Predator,3.7,543.0
Razer,Blade,3.6,1918.0
Razer,Blade,3.7,1608.0
Razer,Blade,3.8,1395.0
Razer,Blade,3.6,771.0
HP,Omen,3.8,1279.0
Razer,Blade,3.6,1305.0
Razer,Blade,3.4,1438.0
HP,Omen,3.5,1487.0
Razer,Blade,3.4,1834.0
HP,Omen,3.5,831.0
Razer,Blade,3.1,881.0
Razer,Blade,3.6,1969.0
Alienware,Area-51,3.2,1433.0
Razer,Blade,3.3,1076.0
MSI,Raider,3.5,844.0
Razer,Blade,3.4,1938.0
Razer,Blade,3.8,1102.0
Razer,Blade,3.0,1108.0
Asus,ROG,3.3,1544.0
Razer,Blade,3.4,973.0
Acer,Predator,3.3,1581.0
Acer,Predator,3.0,712.0
Razer,Blade,3.5,1225.0
Lenovo,Legion,3.2,1010.0
Razer,Blade,3.5,677.0
Asus,ROG,3.2,1299.0
HP,Omen,3.8,1936.0
Acer,Predator,3.7,1661.0
Razer,Blade,3.7,1148.0
Razer,Blade,3.0,643.0
Alienware,Area-51,3.3,866.0
Asus,ROG,3.3,721.0
MSI,Raider,3.5,1956.0
Razer,Blade,3.0,1175.0
Asus,ROG,3.3,672.0
Lenovo,Legion,3.7,1212.0
Razer,Blade,3.6,1277.0
Asus,ROG,3.6,1667.0
Razer,Blade,3.0,543.0
Razer,Blade,3.2,1474.0
Asus,ROG,3.0,1827.0
Razer,Blade,3.1,1698.0
Alienware,Area-51,3.6,641.0
MSI,Raider,3.2,1877.0
Razer,Blade,3.0,1585.0
Acer,Predator,3.6,1426.0
Razer,Blade,3.7,521.0
Razer,Blade,3.6,1833.0
Razer,Blade,3.3,561.0
Razer,Blade,3.7,1168.0
Razer,Blade,3.2,1229.0
Razer,Blade,3.3,721.0
Alienware,Area-51,3.0,1742.0
Alienware,Area-51,3.0,1276.0
Asus,ROG,3.4,1098.0
MSI,Raider,3.4,1969.0
Razer,Blade,3.6,1553.0
MSI,Raider,3.2,855.0
Lenovo,Legion,3.1,1916.0
Alienware,Area-51,3.5,739.0
Razer,Blade,3.4,1206.0
HP,Omen,3.7,508.0
MSI,Raider,3.4,849.0
Razer,Blade,3.6,970.0
